"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"B.polaris",3.03664333456448,-0.282665808325929,-0.985779040035988,0.976428181222312,-0.807816577711153,-0.657813876904407,-1.28364337043943,0.354196772311435,0.00338414270626791,0.870297062564657,0.381073959254277,-0.390717623823183,-0.662491244051478,0.19018093421599,-0.202692583209121,-0.298581000990682,0.0682917744512054
"B.lapidarius",3.45530330226333,-1.85863773290713,-1.26319718060648,0.78384964114595,-0.670248197278504,-0.701070013189482,-1.00850993527713,1.00238591975244,-0.14655722564905,1.10488523089282,0.14437536760656,-0.372356287229565,0.0277343194893191,-0.254032908258397,-0.237664171866292,-0.315760972259076,0.0897949303567852
"C.calcarata",-0.955921289693747,0.603023813396924,-0.532916253439196,0.597396081864333,-0.972098298291988,-2.37743057753525,0.380854037270183,-0.713682208013852,0.404124811576491,-0.778012945419792,-0.44668236407658,-0.080144736772245,-0.0444213641506951,0.103575634432351,0.280497820288047,0.147130395662837,0.0803769667563402
"C.cyanea",-2.59066900488056,-0.0212163206508817,1.12056362855189,0.0748959153779463,-0.849961581604286,0.603043222212055,-0.191158161210154,-0.544281896115501,0.46562713331666,-0.378914816443616,-0.481621795207014,0.271707817540641,0.0981572603347004,-0.0800429810410095,0.20356245101701,0.067694960237112,0.0350770895199751
"C.australensis",0.579817364393089,0.784462242826944,-1.74382627595389,0.833621781823211,1.5093270711178,-0.201114036761202,0.375110249718642,-0.201107977679091,-0.276766694025273,-0.917053972461007,0.053261750345993,-0.0118425848652121,0.0458857273497867,0.203696338097868,0.286105188349608,-0.188099808940333,0.128448849853168
"E.robusta",0.937926100912455,2.51490475857459,-0.396211846667196,1.00240882947911,-1.5406396887069,-0.370937215153853,-0.156316033245631,1.13560069462448,-0.123698138435731,-0.567040489415228,0.719451080937381,-0.586236536737565,0.131173088214855,-0.00524577677573421,0.48063742755238,0.0334377255433918,-0.000625020944337316
"B.vitrea",1.80537739565117,1.88467633267372,-1.0398534113269,0.725037096022247,-0.624316960660272,-0.0452093750902323,-0.520575520989347,-0.204099071511883,-0.237397377920677,0.90183445287947,0.469053657801117,-0.52466247200128,-0.26852862235117,0.156284847156991,-0.347484893236619,0.401816736642214,0.0804742501975695
"E.lawsoni",-1.49644575494024,0.863104108056126,0.346173085145125,0.386771426750568,-1.5381172214203,-0.457166292947869,-0.554849807345034,0.786913260750919,-0.262006207028815,-0.504827697401941,0.0895176158516802,-0.613213493249628,-0.0314613940962461,0.0501732169219882,-0.26362987251314,0.330217368367142,0.0517739451429356
"E.tridentata",2.93618043200059,-0.167907458942585,-1.54456112841689,-1.75226943934523,-1.26418267064736,-0.0849120916799059,-1.29477421899097,-0.387579445933073,-1.45870765908303,-0.128898633786418,0.56713091786662,-0.668184499526479,0.366510065105128,0.268335349931629,0.404851109333053,-0.0998248148260426,-0.0781500549951683
"X.violacea",-2.90439656152619,-0.111660789142836,0.334940138868507,0.130424679278498,-0.0391916874577613,0.555782880468296,0.0368308562151162,-0.0710199539778436,0.190654425147484,-0.106915473980117,0.289783298429762,-0.143747979649589,0.07100870316163,-0.0776958660033345,-0.00683434713754627,0.0537885329937661,0.00981847654842606
"X.virginica",1.96356577879667,2.71985880517646,0.112225953381947,0.0451980872605682,-2.04875761151502,0.492489015564454,0.670326478397602,-1.68540330157984,0.552418012011009,0.46751377805093,-0.140703335788243,0.552730116917638,-0.0161910435394528,-0.181645082158832,0.000144759990391041,0.158173621130358,0.0206517117287452
"X.pubescens",0.805804403515639,1.63808834608459,-0.513092086637362,0.942171827806096,0.223488118069106,0.102621371792839,0.636341797746272,-0.575916828201133,0.147302745586445,-0.946452870858501,-0.625271571921838,0.607039651080975,0.0608753642611697,0.0854376425885311,0.586996113480795,-0.273172592767901,0.181476966631556
"H.laboriosa",-2.94090897217105,-0.613122632552251,0.182810640739806,0.0240192726160419,0.593824283422333,0.613256157940814,-0.165238809688075,0.130225556314956,-0.301330295873478,-0.0815857372544691,0.0578193784842003,0.0370242791926845,0.0292112058020674,0.0519899405829367,-0.163643538063558,-0.0553424888573433,-0.020667973846467
"M.rotundata",-2.72621898765297,-0.656994331269167,0.708512082024,0.0698080796535321,0.148604790135459,0.546511325130582,-0.287795261089279,-0.0915505708283747,-0.0368006382920599,-0.217243171779819,-0.304779749342211,0.33207551940822,-0.133129681268278,0.124546441916715,-0.141625341255574,-0.226563099253377,-0.0318008705840795
