"","PC1","PC2","PC3","PC4","species","group"
"523",4.56018934638518,-1.83608045720854,0.582326598469217,-2.40815839095974,"S.postica","mel"
"524",4.62079731067301,-1.92093797629085,0.642870357754388,-2.3188650615293,"S.postica","mel"
"525",4.83050092494085,-2.58826998502172,0.259691310460451,-2.73855807155929,"S.postica","mel"
"526",5.72983679088933,-3.15290832649305,1.64722154001079,-2.28829066676016,"S.postica","mel"
"527",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"A.nebulata","mel"
"528",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"A.nebulata","mel"
"529",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"A.nebulata","mel"
"530",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"A.nebulata","mel"
"531",1.64822756136077,-0.423425034931177,0.50606747014268,-0.444976381707065,"A.nebulata","mel"
"532",2.08708358558752,-0.554329875713636,0.611714479682808,-0.560302285527517,"A.nebulata","mel"
"533",2.71016264717784,-0.925714963025291,0.24922151731872,-0.83783570256539,"A.nebulata","mel"
"534",4.33929385255944,-1.69686040986518,0.359767740180431,-2.698730011641,"A.nebulata","mel"
"535",4.40957702736493,-1.75553414624402,0.363882893105989,-2.77779597886626,"A.nebulata","mel"
"536",4.59347651319721,-1.84453373362829,0.437983546148932,-3.06033403878298,"A.nebulata","mel"
"537",4.64835214071367,-1.87304526985744,0.465345118126988,-3.07275122125509,"A.nebulata","mel"
"538",5.14675518911804,-2.6315475818507,0.710972927537624,-3.50944750719378,"A.nebulata","mel"
"539",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"A.australis","mel"
"540",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"A.australis","mel"
"541",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"A.australis","mel"
"542",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"A.australis","mel"
"543",1.64822756136077,-0.423425034931177,0.50606747014268,-0.444976381707065,"A.australis","mel"
"544",2.08708358558752,-0.554329875713636,0.611714479682808,-0.560302285527517,"A.australis","mel"
"545",2.71016264717784,-0.925714963025291,0.24922151731872,-0.83783570256539,"A.australis","mel"
"546",4.33929385255944,-1.69686040986518,0.359767740180431,-2.698730011641,"A.australis","mel"
"547",4.40957702736493,-1.75553414624402,0.363882893105989,-2.77779597886626,"A.australis","mel"
"548",4.59347651319721,-1.84453373362829,0.437983546148932,-3.06033403878298,"A.australis","mel"
"549",4.64835214071367,-1.87304526985744,0.465345118126988,-3.07275122125509,"A.australis","mel"
"550",4.70845472161951,-1.4047237577008,0.498194160246425,-2.76243283065372,"A.australis","mel"
"551",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"H.gribodoi","mel"
"552",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"H.gribodoi","mel"
"553",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"H.gribodoi","mel"
"554",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"H.gribodoi","mel"
"555",1.64822756136077,-0.423425034931177,0.50606747014268,-0.444976381707065,"H.gribodoi","mel"
"556",2.08708358558752,-0.554329875713636,0.611714479682808,-0.560302285527517,"H.gribodoi","mel"
"557",2.71016264717784,-0.925714963025291,0.24922151731872,-0.83783570256539,"H.gribodoi","mel"
"558",4.33929385255944,-1.69686040986518,0.359767740180431,-2.698730011641,"H.gribodoi","mel"
"559",4.40957702736493,-1.75553414624402,0.363882893105989,-2.77779597886626,"H.gribodoi","mel"
"560",4.59347651319721,-1.84453373362829,0.437983546148932,-3.06033403878298,"H.gribodoi","mel"
"561",4.59648922757067,-1.8241500570712,0.380515560388084,-3.8685495302477,"H.gribodoi","mel"
"562",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"T.carbonaria","mel"
"563",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"T.carbonaria","mel"
"564",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"T.carbonaria","mel"
"565",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"T.carbonaria","mel"
"566",1.64822756136077,-0.423425034931177,0.50606747014268,-0.444976381707065,"T.carbonaria","mel"
"567",2.08708358558752,-0.554329875713636,0.611714479682808,-0.560302285527517,"T.carbonaria","mel"
"568",2.71016264717784,-0.925714963025291,0.24922151731872,-0.83783570256539,"T.carbonaria","mel"
"569",4.33929385255944,-1.69686040986518,0.359767740180431,-2.698730011641,"T.carbonaria","mel"
"570",4.40957702736493,-1.75553414624402,0.363882893105989,-2.77779597886626,"T.carbonaria","mel"
"571",5.07457338929679,-2.5914778198063,0.127206043995776,-3.19664409786401,"T.carbonaria","mel"
"572",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"B.atratus","bom"
"573",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"B.atratus","bom"
"574",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"B.atratus","bom"
"575",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"B.atratus","bom"
"576",1.64822756136077,-0.423425034931177,0.50606747014268,-0.444976381707065,"B.atratus","bom"
"577",2.08708358558752,-0.554329875713636,0.611714479682808,-0.560302285527517,"B.atratus","bom"
